K03455.1	1	Human immunodeficiency virus type 1 (HXB2), complete genome; HIV1/HTLV-III/LAV reference genome
MH705157.1	0	HIV-1 isolate P4039 from Democratic Republic of the Congo, complete genome
DQ396400.1	0	HIV-1 isolate 04ZASK162B1 from South Africa, complete genome
KU168256.1	0	HIV-1 isolate LA01AlPr from Democratic Republic of the Congo, complete genome
MH705158.1	0	HIV-1 isolate 2106 from Democratic Republic of the Congo, complete genome
MH705151.1	0	HIV-1 isolate 70641 from Democratic Republic of the Congo, complete genome
MH705153.1	0	HIV-1 isolate PBS6126 from Democratic Republic of the Congo, complete genome
MH705133.1	0	HIV-1 isolate PBS888 from Democratic Republic of the Congo, complete genome
KU168305.1	0	HIV-1 isolate CM54-7 from Cameroon, complete genome
MN153491.1	0	HIV-1 isolate 06CMLPH19C17 from Cameroon, complete genome
KP718918.1	0	HIV-1 isolate 46-10 from Cameroon, complete genome
KP718928.1	0	HIV-1 isolate 886-24 from Cameroon, complete genome
MT349418.1	0	HIV-1 isolate 11CMMDC241 from Cameroon, partial genome
FJ670519.1	0	HIV-1 strain ES X1608-8 from Spain, complete genome
KY496622.1	0	HIV-1 isolate 100 117 from Spain, partial genome
KT152846.1	0	HIV-1 isolate NARI-FLS_VB99-30 from India gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; vif protein (vif), vpr protein (vpr), tat protein (tat), and rev protein (rev) genes, complete cds; nonfunctional vpu protein (vpu) gene, complete sequence; and envelope glycoprotein (env) and nef protein (nef) genes, complete cds
KT152839.1	0	HIV-1 isolate NARI-FLS_IVC19-1 from India gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds
KT152840.1	0	HIV-1 isolate NARI-FLS_VB6 from India gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds
KT152844.1	0	HIV-1 isolate NARI-FLS_VB81-12 from India gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds
EU110095.1	0	HIV-1 isolate ML1901PCR2 from Kenya, complete genome
EU110088.1	0	HIV-1 isolate ML1945 from Kenya, complete genome
EU110092.1	0	HIV-1 isolate ML1990 from Kenya, complete genome
EU110094.1	0	HIV-1 isolate ML2014 from Kenya, complete genome
KF716474.1	0	HIV-1 isolate DEMA111KE002 from Kenya gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds
KF716475.1	0	HIV-1 isolate DEMA11KE001 from Kenya gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds
AF539405.1	0	HIV-1 isolate ML170-1986 from Kenya gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope protein (env), and nef protein (nef) genes, complete cds
AF004885.1	0	HIV-1 isolate Q23-17 from Kenya, complete genome
AY322185.1	0	HIV-1 isolate ML013-2-1997 from Kenya, complete genome
AY322190.1	0	HIV-1 isolate ML605-3-1997 from Kenya, complete genome
AY322193.1	0	HIV-1 isolate ML752-3-1997 from Kenya, complete genome
KU749411.1	0	HIV-1 isolate DEMA114PK013 from Pakistan, partial genome
KX232594.1	0	HIV-1 isolate PK001 from Pakistan, complete genome
KX232595.1	0	HIV-1 isolate PK002 from Pakistan, complete genome
KX232597.1	0	HIV-1 isolate PK004 from Pakistan, complete genome
KX232600.1	0	HIV-1 isolate PK007 from Pakistan, complete genome
KX232607.1	0	HIV-1 isolate PK014 from Pakistan, complete genome
KX232609.1	0	HIV-1 isolate PK016 from Pakistan, complete genome
KX232610.1	0	HIV-1 isolate PK017 from Pakistan, complete genome
